Type of aircraft,Flight Phase,Flight Type,YOM,Location,Country,Region,Crew on board,Crew fatalities,Pax on board,Pax fatalities,Other fatalities,Total fatalities,Captain / Total flying hours,Copilot / Total flying hours,Circumstances,Captain / Total hours on type,Copilot / Total hours on type,Probable cause,Date,Year,Month,Total_onboard,Total_fatalities,Fatality_Rate,Circumstances_Short,Onboard_fatalities,Fatality_Rate_Onboard
Airbus A320,Landing (descent or approach),Scheduled Revenue Flight,1989.0,Bangalore-Hindustan  Karnataka,India,Asia,7,4,139,88,0,92,10339.0,9307.0,"Indian Airlines Flight 605 took off from Mumbai, India, at 11:58 for a domestic flight to Bangalore. At 12:25 Bangalore approach was contacted and prevailing weather was passed on to the crew (wind variable 5 knots, visibility 10 km, clouds 2 octa 2,000 feet, temperature 27° C, QNH 1018). At 12:44 the aircraft was cleared to descend to FL110. Reaching FL110, vectors were given for a visual runway 09 approach. On final approach, the aircraft descended well below the normal approach profile and kept descending until it struck the boundaries of the Karnataka Golf Club (2,300 feet short of the runway and 200 feet right of the extended centerline. The aircraft rolled for 80 feet and lifted off again for about 230 feet and came down again on the 17th green of the golf course. The landing gear wheels dug into the ground and the aircraft impacted a 12 feet high embankment, causing the gears and engines to be sheared off. The aircraft continued over the embankment and came to rest in a grassy, marshy and rocky area.",212.0,68.0,"Failure of the pilots to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs of ""Four hundred"", ""Three hundred"" and ""Two hundred"" feet, in spite of knowing that the plane was in idle/open descent mode. However, identification of the cause for the engagement of idle/open descent mode in short final approach during the crucial period of the flight is not possible.",1990-02-14 13:03:00,1990,2,146,92,0.6301369863013698,"Indian Airlines Flight 605 took off from Mumbai, India, at 11:58 for a domestic flight to Bangalore. At 12:25 Bangalore approach was contacted and prevailing weather was passed on to the crew (wind variable 5 knots, visibility 10 km, clouds 2 octa 2,000 feet, temperature 27° C, QNH 1018). At 12:44 t...",92,0.6301369863013698
Antonov AN-32,Landing (descent or approach),Military,1985.0,Mt Ponmudi  Kerala,India,Asia,5,5,0,0,0,5,,,"While approaching Thiruvananthapuram Airport, the crew failed to realize his altitude was too low when the aircraft struck tree tops, stalled and crashed in a wooded area located on the slope of Mt Ponmudi. The wreckage was found about 37 km northeast of the airport and all five crew members were killed.",,,Unknown,1990-07-15 09:55:00,1990,7,5,5,1.0,"While approaching Thiruvananthapuram Airport, the crew failed to realize his altitude was too low when the aircraft struck tree tops, stalled and crashed in a wooded area located on the slope of Mt Ponmudi. The wreckage was found about 37 km northeast of the airport and all five crew members were ki...",5,1.0
Hindustan Aeronautics HAL-748,Takeoff (climb),Training,1984.0,Yelahanka AFB (Bangalore)  Karnataka,India,Asia,3,3,25,25,0,28,,,"After takeoff from Yellahanka AFB, while climbing to a height of 165 feet, the aircraft stalled and crashed in an open field, bursting into flames. The aircraft was totally destroyed by fire and all 28 occupants were killed, among them 25 cadets.",,,Loss of control during initial climb following an engine failure for unknown reasons.,1991-03-24 08:15:00,1991,3,28,28,1.0,"After takeoff from Yellahanka AFB, while climbing to a height of 165 feet, the aircraft stalled and crashed in an open field, bursting into flames. The aircraft was totally destroyed by fire and all 28 occupants were killed, among them 25 cadets....",28,1.0
Boeing 737-200,Landing (descent or approach),Scheduled Revenue Flight,1977.0,Imphal  Manipur,India,Asia,6,6,63,63,0,69,,,"The aircraft departed Calcutta-Dum Dum Airport at 1154 on a regular schedule service to Imphal, Manipur. On descent, the crew encountered poor weather conditions and the visibility was low. After being cleared to descend to 10,000 feet, the crew obtain the permission to make a direct outbound course in view of an ILS approach to runway 04. While completing a turn to join the approach path, the crew failed to realize his altitude was insufficient when the GPWS alarm sounded in the cockpit during 6,3 seconds. The aircraft struck the slope of Mt Thangjing located 39 km southwest of runway 04 threshold and disintegrated on impact. All 69 occupants were killed.",,,"The accident occurred by reason of a grave error on the part of the Pilot-in-Command in not adhering to the operational flight plan and ILS let down chart and not realizing that his early descent to 10,000 feet and turning right for outbound leg without reporting overhead VOR would result in loss of time reference and as such misplace him in the hilly terrain. The Pilot-in-Command's action may have been influenced by his extreme familiarity with the terrain.",1991-08-16 12:46:00,1991,8,69,69,1.0,"The aircraft departed Calcutta-Dum Dum Airport at 1154 on a regular schedule service to Imphal, Manipur. On descent, the crew encountered poor weather conditions and the visibility was low. After being cleared to descend to 10,000 feet, the crew obtain the permission to make a direct outbound course...",69,1.0
Antonov AN-32,Flight,Training,1984.0,Boothgarh  Punjab,India,Asia,4,4,0,0,0,4,,,"In the evening, a formation of nine Antonov AN-32 operated by the Indian Air Force departed Chandigarh Airport for a training mission. While cruising by night, the n°3 in the formation mistook the first aircraft to be the second and elected to regain his position. Doing so, The AN-32 registered K2669 collided with another AN-32 registered K3055 that was positioned to its right. Following the collision, both aircraft entered an uncontrolled descent and crashed in a wheatfield located near Boothgarh. Both aircraft were destroyed and all eight crew members (4 crew in each aircraft) were killed.",,,Unknown,1992-04-01 20:00:00,1992,4,4,4,1.0,"In the evening, a formation of nine Antonov AN-32 operated by the Indian Air Force departed Chandigarh Airport for a training mission. While cruising by night, the n°3 in the formation mistook the first aircraft to be the second and elected to regain his position. Doing so, The AN-32 registered K266...",4,1.0
Boeing 737-200,Takeoff (climb),Scheduled Revenue Flight,1974.0,Aurangabad  Maharashtra,India,Asia,6,2,112,53,0,55,4963.0,1172.0,"Indian Airlines Boeing 737 aircraft VT-ECQ was operating scheduled flight IC491 from Delhi to Jaipur, Udaipur, Aurangabad and Bombay. The flight from Delhi to Aurangabad was uneventful. The aircraft took-off from Aurangabad with 118 persons on board. Aircraft lifted up almost at the end of runway and impacted heavily with a lorry carrying pressed cotton bales running from North to South on a highway at a distance of about 410 feet from the end of runway. The aircraft left main landing gear, left engine bottom cowling and thrust reverser impacted the left side of the truck at a height of nearly seven feet from the level of the road. Thereafter the aircraft hit the high tension electric wires nearly 3 kms North-East of the runway and hit the ground. In all 55 persons received fatal injuries. The aircraft was destroyed due to post impact fire.",1720.0,921.0,"The probable cause of accident has been attributed to :
- Pilots' error in initiating late rotation and following wrong rotation technique, and
- Failure of the NAA to regulate the mobile traffic on the Beed road during the flight hours.",1993-04-26 13:06:00,1993,4,118,55,0.4661016949152542,"Indian Airlines Boeing 737 aircraft VT-ECQ was operating scheduled flight IC491 from Delhi to Jaipur, Udaipur, Aurangabad and Bombay. The flight from Delhi to Aurangabad was uneventful. The aircraft took-off from Aurangabad with 118 persons on board. Aircraft lifted up almost at the end of runway an...",55,0.4661016949152542
Boeing 737-200,Takeoff (climb),Training,1979.0,New Delhi-Indira Gandhi  National Capital Territory of Delhi,India,Asia,4,4,0,0,1,5,7263.0,556.0,"The aircraft was engaged in a local training flight at New Delhi-Indira Gandhi Airport, carrying one instructor and three trainee pilots. Five circuits and landings were completed uneventfully and during the sixth touch-and-go exercice, after take off from runway 28, the aircraft took a left turn and crashed on the international apron. The aircraft collided with an Aeroflot Ilyushin II-86 registered RA-86119 that was parked on the apron, bay n°45. Both aircraft were destroyed by fire. All four crew members on board the Boeing 737 were killed as well as four people on board the II-86 and one on the ground.",2821.0,166.0,Loss of control after rotation due to application of wrong rudder by trainee pilot during engine failure exercice. The instructor did not guard/block the rudder control and give clear commands as instructor so as to obviate the application of wrong rudder control by the trainee pilot.,1994-03-08 14:54:00,1994,3,4,5,1.25,"The aircraft was engaged in a local training flight at New Delhi-Indira Gandhi Airport, carrying one instructor and three trainee pilots. Five circuits and landings were completed uneventfully and during the sixth touch-and-go exercice, after take off from runway 28, the aircraft took a left turn an...",4,1.0
Ilyushin II-76,Flight,Scheduled Revenue Flight,1992.0,Charkhi Dadri  Haryana,India,Asia,10,10,27,27,0,37,9229.0,6822.0,"The Ilyushin II-76TD departed Shymkent Airport on a regular schedule service (flight KZA1907) to New Delhi-Indira Gandhi, carrying 27 passengers and 10 crew members. Following an uneventful flight, the crew was cleared to start the descent to New Delhi via route G452 and was instructed to maintain FL150. At 1833LT, a Boeing 747-168B operated by Saudi Arabian Airlines (Saudia) departed New Delhi-Indira Gandhi Airport on a flight to Jeddah (flight SV763) with an intermediate stop in Dhahran, carrying 289 passengers and 23 crew members. After takeoff, its crew was instructed to climb to FL140 via the same route G452. For unknown reasons, the Kazair crew continued the descent below FL150 until both aircraft faced each other and collided at 1840LT at FL140, seven minutes after the B747 takeoff. After the collision, both aircraft entered an uncontrolled descent and crashed in an open field located about 3 km Charkhi Dadri, some 80 km west of New Delhi-Indira Gandhi Airport. Both aircraft were destroyed by impact forces and a post crash fire and all 349 occupants in both aircraft were killed.",1488.0,409.0,"It was determined that the collision was the consequence of the failure of the Kazair crew to follow the assigned altitude of 15,000 feet while approaching New Delhi. The crew of the Kazair II-76 was instructed by ATC to continue the descent to Indira Gandhi Airport via the same route G452 but at an altitude of 15,000 feet (14,000 feet for the Saudia B747). For unknown reasons, the Kazair crew continued the descent below FL150 without clearance until both aircraft faced each other and collided. During the minutes preceding the accident, both Kazair and Saudia crew have been informed by ATC about other traffic.",1996-11-12 18:40:00,1996,11,37,37,1.0,"The Ilyushin II-76TD departed Shymkent Airport on a regular schedule service (flight KZA1907) to New Delhi-Indira Gandhi, carrying 27 passengers and 10 crew members. Following an uneventful flight, the crew was cleared to start the descent to New Delhi via route G452 and was instructed to maintain F...",37,1.0
Boeing 747-100,Flight,Scheduled Revenue Flight,1982.0,Charkhi Dadri  Haryana,India,Asia,23,23,289,289,0,312,9837.0,7779.0,"The aircraft departed New Delhi-Indira Gandhi Airport at 1833LT on a flight to Jeddah with an intermediate stop in Dhahran, carrying 289 passengers and 23 crew members. After takeoff, the crew was instructed to climb to FL140 via route G452. Seven minutes after takeoff, while cruising at an altitude of 14,000 feet, the aircraft collided with a Kazakhstan Airlines (Kazair) Ilyushin II-76TD that was descending to New Delhi Airport. Registered UN-76435, it was completing flight KZA1907 from Shymkent with 27 passengers and 10 crew members on board. After the collision, both aircraft entered an uncontrolled descent and crashed in an open field located about 3 km Charkhi Dadri, some 80 km west of New Delhi-Indira Gandhi Airport. Both aircraft were destroyed by impact forces and a post crash fire and all 349 occupants in both aircraft were killed.",104.0,1952.0,"It was determined that the collision was the consequence of the failure of the Kazair crew to follow the assigned altitude of 15,000 feet while approaching New Delhi. The crew of the Kazair II-76 was instructed by ATC to continue the descent to Indira Gandhi Airport via the same route G452 but at an altitude of 15,000 feet (14,000 feet for the Saudia B747). For unknown reasons, the Kazair crew continued the descent below FL150 without clearance until both aircraft faced each other and collided. During the minutes preceding the accident, both Kazair and Saudia crew have been informed by ATC about other traffic.",1996-11-12 18:40:00,1996,11,312,312,1.0,"The aircraft departed New Delhi-Indira Gandhi Airport at 1833LT on a flight to Jeddah with an intermediate stop in Dhahran, carrying 289 passengers and 23 crew members. After takeoff, the crew was instructed to climb to FL140 via route G452. Seven minutes after takeoff, while cruising at an altitude...",312,1.0
Hindustan Aeronautics HAL-748,Flight,Military,1971.0,Dubagunta  Andhra Pradesh,India,Asia,5,5,17,17,0,22,,,"En route from Tambaram to Hyderabad, while in cruising altitude, the captain declared an emergency and informed ATC about the failure of an engine. Shortly later, the aircraft entered an uncontrolled descent and crashed near Dubagunta, killing all 22 occupants.",,,"It was determined that an engine failed in flight and later detached, causing the separation of a wing. The failure of the high compressor disk was the consequence of fatigue cracks that were not detected during the last maintenance inspection.",1996-12-24 15:40:00,1996,12,22,22,1.0,"En route from Tambaram to Hyderabad, while in cruising altitude, the captain declared an emergency and informed ATC about the failure of an engine. Shortly later, the aircraft entered an uncontrolled descent and crashed near Dubagunta, killing all 22 occupants....",22,1.0
