type_of_aircraft,flight_phase,flight_type,yom,location,country,region,crew_on_board,crew_fatalities,pax_on_board,pax_fatalities,other_fatalities,total_fatalities,circumstances,probable_cause,captain_/_total_flying_hours,captain_/_total_hours_on_type,copilot_/_total_flying_hours,copilot_/_total_hours_on_type,date,year,month,total_onboard,onboard_fatalities,fatality_rate,fatality_rate_onboard
Airbus A300,Taxiing,Test,1980.0,New Delhi-Indira Gandhi  National Capital Territory of Delhi,India,Asia,5,0,0,0,0,0,"A group of five technicians/engineers of the company was preparing the aircraft to be transferred to a hangar for maintenance. After engine startup, the power was reduced to idle after someone inadvertently pulled out the circuit breaker. The aircraft jumped the chocks and started to roll. Since the engine's power was in idle, the brakes and the nosewheel steering system were inoperative. The crew elected to reduce power on the left engine but mistakenly increased the power on the right engine by 90%. This caused the aircraft to rotate 80° when control was lost. The airplane rolled through a perimeter wall, causing the nose gear to collapse. All five occupants escaped uninjured while the aircraft was damaged beyond repair.",,,,,,2002-03-08 03:15:00,2002.0,3.0,5,0,0.0,0.0
Cessna 340,Takeoff (climb),Positioning,1972.0,Bangalore-Jakkur  Karnataka,India,Asia,2,0,0,0,0,0,"Shortly after takeoff from Bangalore-Jakkur Airport runway 08, while in initial climb, the aircraft suffered an engine failure. It stalled and crashed in shallow water in Jakkur Lake, about one km northeast of the aerodrome. Both pilots were rescued and the aircraft was damaged beyond repair.",Engine failure for unknown reasons.,,,,,2005-07-16 11:50:00,2005.0,7.0,2,0,0.0,0.0
Boeing 737-400,Landing (descent or approach),Scheduled Revenue Flight,1990.0,Mumbai-Chhatrapati Shivaji (Santa Cruz)  Maharashtra,India,Asia,6,0,111,0,0,0,"Following an uneventful flight from Calcutta, the aircraft landed at Mumbai-Chhatrapati Shivaji Airport runway 27. Unable to stop within the remaining distance, the aircraft overran and came to rest few dozen metres further. All 117 occupants evacuated safely while the aircraft was damaged beyond repair.",,,,,,2005-10-09 19:20:00,2005.0,10.0,117,0,0.0,0.0
ATR72-200,Landing (descent or approach),Scheduled Revenue Flight,2005.0,Bangalore-Hindustan  Karnataka,India,Asia,4,0,40,0,0,0,"The twin engine aircraft landed hard on runway 27 at Bangalore-Hindustan Airport. After touchdown, it veered off runway and came to rest. All 44 occupants escaped uninjured while the aircraft was damaged beyond repair. Brand new, it was delivered four months ago.",,,,,,2006-03-11 10:17:00,2006.0,3.0,44,0,0.0,0.0
BAe ATP,Landing (descent or approach),Cargo,1991.0,Chennai  Tamil Nadu,India,Asia,2,0,0,0,0,0,"The crew was completing a cargo flight from Bombay to Madras with an intermediate stop in Bangalore. On final approach to Madras Airport, the aircraft nosed down and landed nose first. Upon impact, the nose gear collapsed and the aircraft slid on its nose for few dozen metres before coming to rest. A fire erupted but was quickly extinguished. Both pilots escaped uninjured while the aircraft was damaged beyond repair.",,,,,,2007-06-15 08:50:00,2007.0,6.0,2,0,0.0,0.0
ATR72-200,Landing (descent or approach),Scheduled Revenue Flight,2000.0,Indore  Madhya Pradesh,India,Asia,4,0,49,0,0,0,"The flight up-till approach to land at Indore was normal. On coming to the runway the aircraft touched down moderately hard and bounced high. The pilots were perhaps determined to salvage the abnormal situation and added power to the engines with intention to cushion the sink-rate and settle the runway. On the contrary, the aircraft came hard on the runway and bounced once again. This got followed with a series of bounces in succession. While bouncing the aircraft migrated from the runway and finally came to full halt on right side close to the airport boundary wall. There was no fire in the accident. All 53 occupants evacuated safely.","The pilot-in-command in absence of bounce recovery guidance adopted self-perceived technique and kept on adding engine power along with aircraft pitch manipulations to salvage the aircraft from the bounce on landing, and gravely damaged the aircraft structure.",10169.0,,,,2007-07-01 19:46:00,2007.0,7.0,53,0,0.0,0.0
Raytheon 390 Premier I,Landing (descent or approach),Executive/Corporate/Business,2001.0,Udaipur  Rajasthan,India,Asia,2,0,5,0,0,0,"The aircraft, after necessary met and ATC briefing took off at 0940 UTC from Jodhpur on direct route W58 at cruise FL 100 and sector EET 20 minutes as per Flight Plan. No abnormality was reported / recorded by the pilot during take off from Jodhpur. The crewmember of the aircraft while operating Jodhpur–Udaipur were the same who operated flight Delhi-Jodhpur on 18.3.2008. There were five passengers also on board the aircraft. The aircraft climbed to the assigned level where the pilot was experiencing continuous turbulence at FL100. The pilot communicated the same to the ATC Jodhpur and requested for higher level which was not granted and advised to continue at same level and contact ATC Udaipur for level change. It came in contact with Udaipur at 0944 UTC, approx 50 NM from Udaipur. At 0948 the weather passed by ATC was winds 180/07 kts. Vis 6 km. Temp 34, QNH 1006 Hpa and advised for ILS approach on runway 26. Consequently the pilot requested to make right base Rwy 26 visual approach, which was approved by the ATC. Aircraft did not report any defect/snag. Pilot further stated that during approach to land at Udaipur when flap 10 degree was selected, the flap didn’t respond and ‘Flaps-Fail’ message flashed. Thereafter he carried out the check list for flapless landing. At 1004 UTC when the aircraft reported on final the ATC cleared the aircraft to land on runway 26 with prevailing wind 230/10 Kts. The same was acknowledged by the crew and initiated landing. At about 20 to 30 feet above ground the pilot stated to have experienced sudden down-draft thereby the aircraft touched down heavily on the runway. The touch-down was on the centerline, at just before the touchdown Zone (TDZ), on the paved runway, after the threshold point. Consequent to the heavy impact both the main wheel tyre got burst; first to burst was right tyre. The aircraft rolled on the runway centerline for a length of about 1,000 feet in the same condition. Thereafter it gradually veered to the right of the runway 26 at distance of approx 2,200 feet runway length from the threshold of the runway. The aircraft left the runway shoulder and after rolling almost straight for another 90 ft it stopped after impact with the airport boundary wall.",The approach speed for flapless landing was about 149 knots against the calculated speed 130-135 knots approx. Incident occurred as the aircraft impacted runway with higher speed while carrying out flapless approach and landing.,2900.0,40.0,896.0,58.0,2008-03-19 15:07:00,2008.0,3.0,7,0,0.0,0.0
ATR72-200,Landing (descent or approach),Scheduled Revenue Flight,2006.0,Mumbai-Chhatrapati Shivaji (Santa Cruz)  Maharashtra,India,Asia,4,0,38,0,0,0,"As per the NOTAM, Runway 14/32 was under permanent maintenance on every Tuesdays since 10/11/2009 runway 27 was available only after runway intersection as runway 27A. To carry out operations on this reduced runway 27 a NOTAM ‘G’ No. G 0128/08 was issued by AAI on the same day of accident i.e. 10-11-2009 and designated as runway 27A for visual approach only. As per the NOTAM Landing Distance Available (LDA)/take off Distance available (TODA) was 1703 m. The weather conditions prevailing at the time of accident was winds 070/07 knots visibility 2800 m with feeble rain. Prior to Kingfisher aircraft, Air India aircraft IC-164, Airbus 319 had landed and reported to ATC that it had aquaplaned and broken two runway edge lights. The ATC acknowledged it and sent runway inspection vehicle to inspect the runway. The ATC person was not familiar with the terminology of ‘aquaplaning’ and not realizing the seriousness of it, cleared kingfisher aircraft for landing. At the time of accident there were water patches on the runway. ATC also did not transmit to the Kingfisher aircraft the information regarding aquaplaning reported by the previous aircraft. The DFDR readout revealed that kingfisher aircraft was not on profile as per localizer procedure laid down in NOTAM ‘G’ and was high and fast. The aircraft landed late on the runway and the runway length available was around 1000 m from the touchdown point. In the prevailing weather conditions this runway length was just sufficient to stop the aircraft on the runway. During landing the kingfisher aircraft aquaplaned and did not decelerate even though reversers and full manual braking was applied by both the cockpit crew. The aircraft started skidding toward the left of center line. On nearing the runway end, the pilot initiated a 45 ° right turn, after crossing ‘N 10’ Taxi track, the aircraft rolled into unpaved wet area. Aircraft rolled over drainage pipes & finally came to a stop near open drain. There was no fire. All the passenger safely deplaned after the accident.","The accident occurred due to an unstabilized approach and decision of crew not to carry out a ‘Go-around’.
Contributory Factors: 
i) Water patches on the runway 27
ii) Inability of the ATCO to communicate the aircraft about aquaplaning of the previous aircraft 
iii) Lack of input from the copilot.",7160.0,2241.0,973.0,613.0,2009-11-10 16:40:00,2009.0,11.0,42,0,0.0,0.0
Beechcraft 90 King Air,Landing (descent or approach),Training,2005.0,Lohegaon  Maharashtra,India,Asia,3,0,0,0,0,0,"The crew was completing a local training mission at Lohegaon Airport. On final approach to runway 28, the aircraft impacted ground, teared off several runway lights and came to rest. All three occupants escaped uninjured while the aircraft was damaged beyond repair.",,,,,,2012-09-07 20:00:00,2012.0,9.0,3,0,0.0,0.0
Raytheon 390 Premier I,Landing (descent or approach),Government,2008.0,New Delhi-Indira Gandhi  National Capital Territory of Delhi,India,Asia,3,0,3,0,0,0,"The aircraft departed Lucknow Airport in the morning on a flight to New Delhi-Indira Gandhi Airport with a crew of three (two pilot and a cabin crew) and three passengers, among them Shivpal Yadav, Minister by the Uttar Pradesh Government. Following an uneventful flight, the crew completed the approach to runway 27. After touch down, the left main gear collapsed and the aircraft slid on runway for about one km when the right main gear collapsed as well. Out of control, the aircraft veered off runway to the right and came to rest in a grassy area. All six occupants escaped uninjured while the aircraft was damaged beyond repair.",,,,,,2012-09-22 11:29:00,2012.0,9.0,6,0,0.0,0.0
